상세검색_서비스분야,상세검색_지원형태,상세검색_신청방법,지원형태,신청기간,접수기관,전화문의,지원대상,선정기준,지원내용,신청방법,제출서류,문의처,관계법령,최종수정일
생활안정,현금,온라인신청,현금,격리 해제일(격리기간이 종료된 날의 익일)로부터 90일 이내 신청,주민센터,제도 문의 (☎ 1339)시스템 문의 (☎ 1588-2188),"○「감염병의 예방 및 관리에 관한 법률」에 따라 입원･격리 통지서를 받은 사람 - 입원·격리자 가구의 소득이 기준 중위소득 100%이하 금액에 해당하는 가구(격리 시작일이 '22. 7. 11.인 격리자부터)  * 가구의 소득은 '동거인'을 제외한 전체 가구원(격리자+미격리자)의 본인부담 건강보험료(부과액)를 합산하여 판정함 ** '22.7.10. 이전 격리시작한 자는 소득기준 미적용, '22.5.13. 이후 격리 해제된 확진자는 「('22.7.10. 이전 격리시작) 코로나19 입원·격리자 생활지원비 지원」통해 온라인 신청※ 상세 안내 : https://url.kr/soeajz","○ 지원대상 선정 - (가구원 수 산정) 격리 해제일 기준 격리자의 동일 주민등록표에 등재된 세대원  * 실제 동거하고 있으나 격리자가 주민등록표상 분리 등재된 경우는 별도 가구로 보아 따로 신청(동일 주민등록표에 등재되지 않은 경우에는 해당가구 가구원의 건강보험 피부양자로 등재되어 있더라도 가구원으로 보지 않음) ** 주민등록표에 함께 등재된 경우라도 동거인은 별도 1인 가구로 간주(하나의 주민등록표에 동거인이 2인 이상 기재된 경우라도 각각을 1인 가구로 봄)※ (예) 아동보호시설, 장애인거주시설, 요양원, 기숙사 등 집단시설 거주자 등 - (소득기준 확인) 격리여부와 관계없이 산정된 가구원 전체의 건강보험료 본인부담금(노인장기요양보험료 제외) 합산액이 기준 중위소득 100%이하 금액에 해당하는지 확인  ･ (기준) 신청 대상자의 가구원 수를 산출한 뒤 “건강보험료 산정기준표”에 따라 소득기준 부합 여부 판단  ･ (적용시점) 격리 해제일이 속한 달의 ‘전월 부과보험료’ 적용※ (예) 격리 해제일이 7월 20일인 경우 6월분 부과보험료 확인 ･ (건강보험료 산출) 전체 가구원 중 ‘보험가입자’의 건강보험료 본인부담금 합산  * 보험가입자가 아닌 피부양자로 등재된 경우는 0원으로 처리 ** 휴직 등의 사유로 전월 부과보험료가 없는 경우는 0원으로 처리*** 휴직 후 복직 등으로 정산보험료가 추가 부과된 경우 정산보험료는 제외 [ 지원제외 대상 입원･격리자 ]※ 소득기준에 부합하는 경우라도 아래에 해당하는 경우 미지원  ① 「감염병예방법」제41조의2에 따른 유급휴가를 받은 입원·격리자 ② 해외입국 격리자 ③ 격리수칙 또는 방역수칙 위반자 ④ 입원･격리자 본인이 국가･지자체 등의 재정지원을 받는 아래 기관의 종사자인 경우  - ｢부패방지권익위법｣제2조제1호 가~다, 마목에 해당하는 공공기관    * 다만, 제1호 단서규정에도 불구하고 마목의 국가나 지자체로부터 출연금 또는 보조금을 받는 사립학교 및「사립학교법」에 따른 학교 법인은 지원제외 대상에 포함함   - ｢공공기관의 운영에 관한 법률｣제4조제1항에 따라 기획재정부장관이 지정한 공공기관    ☞ ④번 기관 소속 비정규직 근로자 등으로서 「감염병예방법」제41조의2에 따른 유급휴가(격리를 위한 공가를 포함)를 제공받지 못한 경우 소속기관이 확인한 ‘유급휴가 미제공 확인서’를 제출 시 예외적 지원","ㅇ 생활지원비 지원사업  - (적용시기) '22. 7. 11. 이후 격리통지자(격리시작일이 7.11.)  - (지원대상) 기준중위소득 100% 이하 가구에 속하는 격리자  - (지급단위) 주민등록상 동일 가구 ※ 동일 주민등록표 등재된 동거인 제외하며 별도 1인 세대로 간주(오프라인 신청만 가능)  - (지원금액) 격리자 1인 10만원, 격리자 2인 이상 15만원  - (판정기준) 기준중위소득을 적용한 '건강보험료산정기준표'  - (신청기간) 격리해제일(격리기간이 종료된 날의 익일)*로부터 90일 이내    * 격리기간이 7.11.~7.17. 24시인 경우, 기산점은 7.18. 00시","※ 확진자가 미성년자(만 18세 이하)인 경우 → 가구 내 다른 성인 격리자가 신청(성인 격리자 없는 경우 보호자, 법정대리인이 신청(위탁부모 등 포함)○ 온라인 신청  - 신청대상 : '22년 7월 11일 이후 격리 해제된 확진자  * 코로나19 시스템으로부터 제공된 확진내역이 없는 국민은 신청할 수 없음 - 신청서류 : 유급휴가를 받지 못한 근로자의 경우 ""유급휴가 미제공 확인서"" 제출 필수 ○ 방문신청 - 신청대상 : 코로나19로 입원‧격리 통지서를 받은 사람  - 신청서류 : 생활지원비 신청서, 격리대상자 본인 통장(사본), 신분증, 소득기준을 확인할 수 있는 서류(건강보험료 납부확인서 등), 위임장(대리인이 신청하는 경우), 예외 신청사유 증빙서류(유급휴가 미제공 확인서 등)  * '22.5.12.이전 격리해제된 확진자는 종전대로 주민등록주소지 읍면동 방문 등으로 신청","○ 온라인 신청 - 예외 신청사유 증빙서류(유급휴가 미제공 확인서 등, 해당자에 한함) ○오프라인 신청 - 생활지원비 신청서(서식 제1호) 1부  - 격리대상자 본인 통장(사본) 1부  - 본인 및 대리인 신분증(주민등록증, 운전면허증, 여권)  - 주민등록 등본 등 세대별 가구원 수를 확인할 수 있는 서류  * 단, 행정정보 공동이용에 동의한 경우는 생략 가능  - 소득기준을 확인 확인할 있는 서류(건강보험료 납부확인서 등)  * 단, 보조금24(연계시스템을 포함)를 통해 확인되거나, 행정정보 공동이용에 동의한 경우는 생략 가능  - 위임장(서식 제2호) 1부(대리인이 신청하는 경우에 한함)  - 예외 신청사유 증빙서류(유급휴가 미제공 확인서 등, 해당자에 한함)",,,2022-07-28
생활안정,현금,온라인신청,현금,격리기간이 종료된 날의 익일로부터 90일 이내 신청,주민센터,제도 문의 (☎ 1339)시스템 문의 (☎ 1588-2188),○「감염병의 예방 및 관리에 관한 법률」에 따라 입원･격리 통지서를 받은 사람 - 온라인 신청대상 : '22년 5월 13일 이후 격리 해제된 확진자만 가능  · '22년 5월 12일 이전 격리 해제된 확진자 : 오프라인 신청,"[ 지원제외 대상 입원･격리자 ] ①「감염병예방법」제41조의2에 따른 유급휴가를 받은 입원․격리자 - 유급휴가비용 지원 사후에 확인된 경우, 환수 조치함② 해외입국 격리자③ 격리수칙 또는 방역수칙 위반자④ 입원･격리자 본인이 국가･지자체 등의 재정지원을 받는 아래 기관의 종사자인 경우 - ｢부패방지권익위법｣제2조제1호 가~다, 마목에 해당하는 공공기관  * 다만, 제1호 단서규정에도 불구하고 마목의 국가나 지자체로부터 출연금 또는 보조금을 받는 사립학교 및 「사립학교법」에 따른 학교 법인은 지원제외 대상에 포함함 - ｢공공기관의 운영에 관한 법률｣ 제4조제1항에 따라 기획재정부장관이 지정한 공공기관  * ④번 기관 소속 비정규직 근로자 등으로서 「감염병예방법」제41조의2에 따른 유급휴가(격리를 위한 공가를 포함)를 제공받지 못한 경우 소속기관이 확인한 ‘유급휴가 미제공 확인서’를 제출 시 예외적 지원","○ 현금 지원 - 가구 내 격리자 수에 따라 1인인 경우 10만원, 2인 이상의 경우 15만원 지원","※ 확진자가 미성년자(만 18세 이하)인 경우 → 가구 내 다른 성인 격리자가 신청(성인 격리자 없는 경우 보호자, 법정대리인이 신청(위탁부모 등 포함)○ 온라인 신청  - 신청대상 : '22년 5월 13일 이후 격리 해제된 확진자  * 코로나19 시스템으로부터 제공된 확진내역이 없는 국민은 신청할 수 없음 - 신청서류 : 유급휴가를 받지 못한 근로자의 경우 ""유급휴가 미제공 확인서"" 제출 필수 ○ 방문신청 - 신청대상 : 코로나19로 입원‧격리 통지서를 받은 사람  - 신청서류 : 생활지원비 신청서, 격리대상자 본인 통장(사본), 신분증, 위임장(대리인이 신청하는 경우), 예외 신청사유 증빙서류(유급휴가 미제공 확인서 등)  * '22.5.12.이전 격리해제된 확진자는 종전대로 주민등록주소지 읍면동 방문 등으로 신청","○ 온라인 신청 - 예외 신청사유 증빙서류(유급휴가 미제공 확인서 등, 해당자에 한함) ○오프라인 신청 - 생활지원비 신청서(서식 제1호) 1부  - 격리대상자 본인 통장(사본) 1부  - 본인 및 대리인 신분증(주민등록증, 운전면허증, 여권)  - 주민등록등본 등 세대별 가구원 수를 확인할 수 있는 서류  * 단, 행정정보 공동이용에 동의한 경우는 생략 가능  - 위임장(서식 제2호) 1부(대리인이 신청하는 경우에 한함)  - 예외 신청사유 증빙서류(유급휴가 미제공 확인서 등, 해당자에 한함)",,,2022-09-13
생활안정,현금,온라인신청,현금,별도 신청기간 없음,지방보훈청 및 보훈지청,국가보훈처 보훈상담센터 (☎ 1577-0606)주소지 관할 보훈지(방)청 (☎ 1577-0606),"○ 독립유공자, 국가유공자, 보훈보상대상자 본인 및 선순위 유족 중 저소득자","아래 소득인정액 기준 및 부양의무자 기준을 동시에 충족하여야 함○  소득 인정액 기준   - 국가보훈처장이 정하는 기준금액의 50% 이하     · (1인가구) 1,191,000원,  (4인가구) 2,560,540원 등 ○  부양의무자 기준   - 부양의무자가 없거나, 부양의무자가 있어도 부양능력이 없는 경우",○  소득수준 및 가구원수에 따라 생활조정수당 차등지급    - (3인이하) 월 220천원~월 283천원    - (4인이상) 월 273천원~월 336천원,지방보훈청 또는 보훈지청에 방문하거나 우편으로 신청(기초생계 또는 기초의료수급자의 경우 온라인신청 가능),- 생활조정수당신청서- 개인정보제공 및 이용 동의서- 금융정보제공동의서(세대원 및 부양의무자 포함)- 소득재산신고서- 가족관계증명서,,,2022-06-17
생활안정,현금,온라인신청,현금,전역 후 6개월 이내,전국제대군인지원센터,전국제대군인지원센터 (☎ 1666-9279),"○ 5년 이상 ~ 19년 6개월 미만 복무하고 전역한 실업상태의 군인연금 비대상 중, 장기복무 제대군인으로서 전역 후 6개월 이내에 전직지원금을 신청하고, 적극적 구직활동을 하는 사람 ○ 실업상태의 군인연금 비대상 중, 장기복무 제대군인(5~ 19년 6개월 미만) 중 적극적 구직활동을 하는 제대군인","○ 실업상태의 군인연금 비대상 중, 장기복무 제대군인(5~19년 6개월 미만) 중 적극적 구직활동을 하는 제대군인","○ 매월 장기복무 70만 원, 중기복무 50만 원 씩 6개월 간 지급. 다만 수급기간 중 취창업시에는 취업이나 창업을 한 다음 달부터 남은 달까지 받을 총 지급액의 1/2을 일시금으로 지급 ○  지급 중단 사유 - 적극적으로 구직활동을 하지 않은 경우(본인의 질병·부상·임신·출산 및 천재지변의 경우는 제외) - 거짓이나 그 밖의 부정한 방법으로 전직지원금을 지급받았거나 지급받으려 한 경우","제대군인지원센터에 방문하거나 온라인, 우편으로 신청",적극적 구직활동증명 서류(일시금 지급 신청시 취·창업 입증서류),,,2022-01-03
생활안정,현금,온라인신청,현금,별도 신청기간 없음,지방보훈청 및 보훈지청,국가보훈처 보훈상담센터 (☎ 1577-0606)주소지 관할 보훈지(방)청 (☎ 1577-0606),○  보상금을 받지 않는 독립유공자의 자녀 및 손자녀 중 저소득자,"○  국민기초생활보장법의 적용을 받는 자로서 다음 어느 하나에 해당하는 경우   - 생계급여수급자   - 의료급여수급자   - 주거급여수급자   - 교육급여수급자   - 차상위계층 ○ 국가보훈처의 생활조정수당 수급자 ○  기준 중위소득 70% 이하자    - '22년 기준 4인가구 3,584,756원 ○ 기초연금수급자 중 단독 또는 부부세대","○   소득수준에 따라 차등지급    - 기초생활수급자(생계 및 의료급여에 한함), 보훈처 생활조정수당 지급자 : 월 478천원     - 당해 연도 기준  중위소득 70% 이하자, 기초연금수급자(단독 또는 부부세대) : 월 345천원","지방보훈청 또는 보훈지청에 방문하거나 우편으로 신청(기초수급자, 차상위계층, 기초연금자는 온라인신청 가능)",-  독립유공자 (손)자녀 생활지원금 지원신청서 1부 - 개인정보제공동의서 1부 - 금융정보제공동의서 1부(중위소득 70%이하 조사대상자) - 소득재산신고서 1부(중위소득 70% 이하 조사대상자) - 가족관계증명서,,,2022-06-17
생활안정,현금,온라인신청,현금,상시신청,주민센터,인구정책과 (☎ 061-830-5804),○ 신청일 기준 만 19세 이상 ~ 만 49세 이하 청년(1년 평균 가구소득인정액 기준중위소득 150% 이하/전용면적 85㎡ 이하),,○ 신청일 직전 1년간 월 임대료의 50% 지원 - 연 최대 120만원/1회,○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청,,,,2022-08-17
생활안정,현금,온라인신청,현금,상시신청,주민센터,상록구 주민복지과 (☎ 031-481-5213)단원구 주민복지과 (☎ 031-481-6217),"○ 지급대상  - 지급기준일 현재 안산시에 1년 이상 거주한 주민등록법상 만 85세 이상의 노인 및 지급기준일 현재 100세가 되는 노인     (단, 기초연금 수급자 제외) ○ 지급기준 : 매월 15일 지급 ○ 지급금액  - 만 85세 이상 노인 : 월 30,000원 - 만 100세 노인       : 1회 500,000원 (100세 축하금)",,"○ 장수수당 - 목       적 : 경로효친의 사회적 분위기를 조성하고 장수 노인의 노후생활 안정을 지원 - 사업대상 : 지급기준일 현재 안산시에 1년 이상 거주한 주민등록법상 만 85세 이상의 노인 및 지급기준일 현재 100세가 되는 노인     (단, 기초연금 수급자 제외) - 사업내용   ㆍ만 85세 이상 노인 :  월 30,000원  ㆍ만 100세 노인     : 1회 500,000원 (100세 축하금)",○ 방문 신청 - 주민센터 : 주소지 관할 읍·면·동 주민센터 방문 ○ 지급시기 및 지급방법 - 지급개시 : 만 85세가 되는 날이 속한 달 - 지 급 일 : 매월 15일 - 지급방법 : 개인별 계좌입금,"신청서, 위임장(대리신청서), 통장사본 등",,,2021-11-26
생활안정,현금,온라인신청,현금,상시신청,주민센터,가족정책과 (☎ 02-351-6223),○ 관내 출산가정,,"○ 관내 출산가정에 출산축하금 지원(출생일로부터 1년 이내 신청, 2021년생까지만 지원) - 첫째아 10만원, 둘째아 35만원, 셋째아 70만원, 넷째아 100만원, 다섯쨰아 이상 200만원",○ 온라인 신청 : 정부24(www.gov.kr)○ 오프라인 신청 : 주소지 주민센터 방문 신청,,,,2022-09-06
생활안정,현금,온라인신청,현금,상시신청,주민센터                                                                                                                                                                                                                                                                        시·군·구청,복지정책과 (☎ 02-820-9545),○ 동작구에 주민등록을 두고 거주하는 국가보훈대상자 ○ 동작구에 주민등록을 두고 거주하는 애국지사,,"○ 동작구에 주민등록을 두고 거주하는 국가보훈대상자에게 설, 보훈의달, 추석에 각 2만원씩 위문금 지급 ○ 동작구에 주민등록을 두고 거주하는 애국지사에게 설, 보훈의달, 추석에 각 5만원씩 위문금 지급",○ 방문 신청  - 주민센터 : 관할 동주민센터 방문 신청 - 시군구 : 구청(복지정책과) 방문 신청,,,,2021-11-29
생활안정,현금,온라인신청,현금,상시신청,주민센터,복지정책과 (☎ 031-5189-2213),○ 다음 관련 법령의 적용을 받아 국가보훈대상자로 등록 및 결정된 사람 - 「국가유공자 등 단체설립에 관한 법률」의 적용을 받는 사람 - 「참전유공자예우 및 단체설립에 관한 법률」의 적용을 받는 사람 - 「고엽제후유의증 등 환자지원 및 단체설립에 관한 법률」의 적용을 받는 사람 - 「국가유공자 등 예우 및 지원에 관한 법률」의 적용을 받는 사람 - 「특수임무유공자 예우 및 단체설립에 관한 법률」의 적용을 받는 사람 - 「5ㆍ18민주유공자 예우에 관한 법률」의 적용을 받는 사람 - 「보훈보상대상자 지원에 관한 법률」의 적용을 받는 사람,,"○ 국가보훈대상자 명예선양비 지원 - 보훈명예수당(만 80세 미만 월 8만원, 만 80세 이상 월 10만원)  - 사망위로금(1회 25만원) - 국가보훈대상자 특별위로금(연 3회) 각 3만원 - 독립유공자 유족 특별위로금(연 2회) 각 10만원 - 화성시 출신 독립유공자 후손 주거안정 특별위로금(연 5회) 각 20만원",○ 방문 신청 - 주민센터 : 주소지 관할 읍·면·동 주민센터 방문,,,,2022-07-18
